1618295938.847209643		0.00		0.00		0.00		9.83		0.02		0.11		
1618295938.857209457		-0.00		0.00		0.00		9.82		-0.01		0.13		
1618295938.867214020		0.00		0.00		0.00		9.81		0.00		0.11		
1618295938.877209615		0.00		0.00		0.00		9.82		0.02		0.12		
1618295938.887209880		0.00		0.00		0.00		9.84		-0.03		0.15		
1618295938.897221165		0.00		0.00		0.00		9.79		0.00		0.12		
1618295938.907210509		-0.00		0.00		0.00		9.81		-0.03		0.16		
1618295938.917220682		0.15		-0.15		16.70		-8.54		48.57		20.00		
1618295938.927210056		-0.00		0.00		0.00		9.84		-0.04		0.18		
1618295938.937209018		0.00		0.00		0.00		9.81		0.03		0.11		
1618295938.947210565		0.00		0.00		0.00		9.81		0.01		0.10		
1618295938.957225788		0.00		0.00		0.00		9.81		-0.02		0.16		
1618295938.967199452		0.00		0.00		-0.00		9.82		-0.01		0.17		
1618295938.977219694		0.15		-0.15		16.55		-2.82		42.85		20.00		
1618295938.987201193		0.00		0.00		0.00		9.83		-0.01		0.13		
1618295938.997202500		0.00		0.00		0.00		9.82		-0.02		0.15		
1618295939.007216871		0.15		-0.29		16.41		-2.82		39.99		14.29		
1618295939.017208850		0.00		0.00		0.00		9.82		0.00		0.13		
1618295939.027221177		0.15		-0.44		16.99		-8.54		48.57		14.29		
1618295939.037217003		0.00		-0.29		15.97		8.61		28.58		20.00		
1618295939.047208711		-0.00		0.00		0.00		9.82		0.00		0.11		
1618295939.057235085		0.00		0.00		0.00		9.81		-0.04		0.16		
1618295939.067202307		-0.00		0.00		0.00		9.83		-0.01		0.13		
1618295939.077232328		0.00		0.00		0.00		9.80		0.00		0.15		
1618295939.087218916		0.00		0.00		0.00		9.81		0.00		0.13		
1618295939.097233938		0.00		0.00		0.00		9.84		-0.01		0.12		
1618295939.107223493		0.00		0.00		0.00		9.82		0.00		0.12		
1618295939.118289375		0.00		0.00		0.00		9.83		-0.01		0.13		
1618295939.127223731		0.00		0.00		0.00		9.82		-0.03		0.17		
1618295939.137200261		0.00		0.00		0.00		9.79		0.02		0.10		
1618295939.147194354		0.00		0.00		0.00		9.83		0.01		0.13		
1618295939.157223182		0.00		0.00		0.00		9.81		0.03		0.08		
1618295939.167222956		0.00		0.00		0.00		9.81		0.01		0.11		
1618295939.177203273		0.00		0.00		-0.00		9.83		-0.03		0.18		
1618295939.187201694		0.00		0.00		0.00		9.82		-0.01		0.16		
1618295939.197265728		0.00		-0.00		0.00		9.81		0.00		0.12		
1618295939.207197213		0.00		0.00		0.00		9.83		-0.01		0.15		
1618295939.217215342		0.00		-0.15		16.26		-2.82		39.99		20.00		
1618295939.227200498		0.00		-0.00		0.00		9.83		0.00		0.11		
1618295939.237202926		0.00		0.00		0.00		9.83		-0.04		0.16		
1618295939.247197941		0.00		-0.00		0.00		9.83		-0.01		0.13		
